id,first_name,last_name,gameweek_18_points
193,Alex,Oxlade-Chamberlain,0.0
194,Xherdan,Shaqiri,0.0
195,Adam,Lallana,0.0
196,Naby,Keita,0.0
197,Fabio Henrique,Tavares,0.0
198,Jordan,Henderson,0.0
199,Georginio,Wijnaldum,0.0
200,James,Milner,0.0
201,Rafael,Camacho,0.0
202,Aymeric,Laporte,0.0
203,Kyle,Walker,0.0
204,Benjamin,Mendy,1.0
205,Fabian,Delph,1.0
206,Oleksandr,Zinchenko,0.0
207,John,Stones,0.0
208,Nicolás,Otamendi,0.0
209,Danilo Luiz,da Silva,0.0
210,Sergio,Agüero,0.0
211,Gabriel Fernando,de Jesus,1.0
212,Ederson,Santana de Moraes,0.0
213,Claudio,Bravo,0.0
214,Raheem,Sterling,1.0
215,Kevin,De Bruyne,1.0
216,Leroy,Sané,0.0
217,Riyad,Mahrez,2.0
218,Bernardo Mota,Veiga de Carvalho e Silva,0.0
219,David,Silva,0.0
220,Phil,Foden,0.0
221,Fernando,Luiz Rosa,0.0
222,Ilkay,Gündogan,2.0
223,Chris,Smalling,0.0
224,Ashley,Young,0.0
225,Victor,Lindelöf,0.0
226,Luke,Shaw,0.0
227,Marcos,Rojo,0.0
228,Eric,Bailly,0.0
229,José Diogo,Dalot Teixeira,0.0
230,Matteo,Darmian,0.0
231,Phil,Jones,0.0
232,Romelu,Lukaku,0.0
233,Marcus,Rashford,0.0
234,Mason,Greenwood,0.0
235,David,de Gea,0.0
236,Sergio,Romero,0.0
237,Lee,Grant,0.0
238,Paul,Pogba,0.0
239,Anthony,Martial,0.0
240,Alexis,Sánchez,0.0
241,Jesse,Lingard,0.0
242,Juan,Mata,0.0
243,Daniel,James,0.0
244,Frederico,Rodrigues de Paula Santos,0.0
245,Angel,Gomes,0.0
246,Andreas,Pereira,0.0
247,Nemanja,Matic,0.0
248,Scott,McTominay,0.0
249,Tahith,Chong,0.0
250,James,Garner,0.0
251,Matt,Ritchie,0.0
252,Fabian,Schär,1.0
253,DeAndre,Yedlin,0.0
254,Federico,Fernández,1.0
255,Paul,Dummett,2.0
256,Javier,Manquillo,1.0
257,Florian,Lejeune,1.0
258,Jamaal,Lascelles,0.0
259,Ciaran,Clark,0.0
260,Yoshinori,Muto,0.0
261,Jose Luis,Mato Sanmartín,0.0
262,Martin,Dubravka,2.0
263,Karl,Darlow,0.0
264,Frederick,Woodman,0.0
265,Ayoze,Pérez,0.0
266,Miguel,Almirón,2.0
267,Christian,Atsu,0.0
268,Sung-yueng,Ki,0.0
269,Jonjo,Shelvey,0.0
270,Sean,Longstaff,0.0
271,Isaac,Hayden,0.0
272,Timm,Klose,0.0
273,Ben,Godfrey,0.0
274,Maximillian,Aarons,0.0
275,Christoph,Zimmermann,0.0
276,Jamal,Lewis,0.0
277,Grant,Hanley,0.0
278,Teemu,Pukki,0.0
279,Dennis,Srbeny,0.0
280,Tim,Krul,0.0
281,Michael,McGovern,0.0
282,Mario,Vrancic,0.0
283,Emiliano,Buendía,1.0
284,Onel,Hernández,0.0
285,Marco,Stiepermann,0.0
286,Kenny,McLean,0.0
287,Todd,Cantwell,2.0
288,Moritz,Leitner,0.0
289,Alexander,Tettey,0.0
290,Tom,Trybull,0.0
291,Enda,Stevens,1.0
292,Kieron,Freeman,0.0
293,Jack,O'Connell,1.0
294,George,Baldock,1.0
295,John,Egan,1.0
296,Richard,Stearman,0.0
297,John,Lundstram,1.0
